Order #;Type;Signal;Date;Time;Price;Contracts;Profit ($);Profit (%);Cum. Profit ($);Cum. Profit (%);Run-up ($);Run-up (%);Drawdown ($);Drawdown (%)
1;EntryLong;Enter1;8/20/20;2:10:00 AM;11269,25;1;665;0,295050691039776;665;0,665;665;0,295050691039776;-180;-0,0798633449430974
2;ExitLong;Profit Target;8/20/20;4:45:00 AM;11302,5;1;;;;;;;;
3;EntryLong;Enter1;8/20/20;11:55:00 PM;11507;1;-145;-0,063005127313809;520;0,52;55;0,0238984965673069;-145;-0,063005127313809
4;ExitLong;Stop Loss;8/21/20;12:35:00 AM;11499,75;1;;;;;;;;
5;EntryLong;Enter1;8/21/20;3:55:00 AM;11470,25;1;-185;-0,0806434035875417;335;0,335;510;0,222314247727818;-185;-0,0806434035875417
6;ExitLong;Stop Loss;8/21/20;5:50:00 AM;11461;1;;;;;;;;
7;EntryLong;Enter1;8/21/20;9:15:00 AM;11483;1;905;0,394060785509013;1240;1,24;905;0,394060785509013;-220;-0,0957937821126883
8;ExitLong;Profit Target;8/21/20;9:30:00 AM;11528,25;1;;;;;;;;
9;EntryLong;Enter1;8/21/20;12:00:00 PM;11540,5;1;-295;-0,12781075343356;945;0,945;50;0,0216628395650102;-295;-0,12781075343356
10;ExitLong;Stop Loss;8/21/20;12:05:00 PM;11525,75;1;;;;;;;;
11;EntryLong;Enter1;8/21/20;12:35:00 PM;11532;1;-305;-0,13224072147069;640;0,64;160;0,0693721817551162;-305;-0,13224072147069
12;ExitLong;Stop Loss;8/21/20;1:00:00 PM;11516,75;1;;;;;;;;
13;EntryLong;Enter1;8/23/20;8:20:00 PM;11589,75;1;560;0,241592786729653;1200;1,2;560;0,241592786729653;0;0
14;ExitLong;Profit Target;8/24/20;1:05:00 AM;11617,75;1;;;;;;;;
15;EntryLong;Enter2;8/24/20;8:35:00 AM;11688,25;1;395;0,168973114024768;1595;1,595;395;0,168973114024768;0;0
16;ExitLong;Profit Target;8/24/20;8:40:00 AM;11708;1;;;;;;;;
17;EntryLong;Enter1;8/24/20;11:55:00 AM;11611,25;1;-305;-0,131338141888255;1290;1,29;495;0,213155345031758;-305;-0,131338141888255
18;ExitLong;Stop Loss;8/24/20;12:35:00 PM;11596;1;;;;;;;;
19;EntryLong;Enter1;8/25/20;12:15:00 PM;11662,75;1;755;0,323680092602517;2045;2,045;755;0,323680092602517;-105;-0,045015112216244
20;ExitLong;Profit Target;8/25/20;2:10:00 PM;11700,5;1;;;;;;;;
21;EntryLong;Enter1;8/25/20;7:45:00 PM;11748;1;-130;-0,0553285665645216;1915;1,915;25;0,0106401089547157;-130;-0,0553285665645216
22;ExitLong;Stop Loss;8/25/20;7:55:00 PM;11741,5;1;;;;;;;;
23;EntryLong;Enter1;8/26/20;1:35:00 AM;11744;1;-285;-0,121338555858311;1630;1,63;35;0,0149012261580381;-285;-0,121338555858311
24;ExitLong;Stop Loss;8/26/20;2:05:00 AM;11729,75;1;;;;;;;;
25;EntryLong;Enter1;8/26/20;2:20:00 AM;11737,5;1;650;0,276890308839191;2280;2,28;650;0,276890308839191;-85;-0,0362087326943557
26;ExitLong;Profit Target;8/26/20;5:55:00 AM;11770;1;;;;;;;;
27;EntryLong;Enter1;8/27/20;1:05:00 AM;11962,5;1;-240;-0,100313479623824;2040;2,04;65;0,0271682340647858;-240;-0,100313479623824
28;ExitLong;Stop Loss;8/27/20;1:20:00 AM;11950,5;1;;;;;;;;
29;EntryLong;Enter1;8/27/20;1:40:00 AM;11962,25;1;-305;-0,127484377938933;1735;1,735;375;0,156743087629836;-305;-0,127484377938933
30;ExitLong;Stop Loss;8/27/20;6:50:00 AM;11947;1;;;;;;;;
31;EntryLong;Enter1;8/27/20;7:55:00 AM;11969,25;1;-305;-0,127409820999645;1430;1,43;55;0,0229755414917392;-305;-0,127409820999645
32;ExitLong;Stop Loss;8/27/20;8:10:00 AM;11954;1;;;;;;;;
33;EntryLong;Enter1;8/27/20;2:05:00 PM;11961,5;1;-305;-0,127492371358107;1125;1,125;15;0,00627011662416921;-305;-0,127492371358107
34;ExitLong;Stop Loss;8/27/20;2:10:00 PM;11946,25;1;;;;;;;;
35;EntryLong;Enter1;8/27/20;2:20:00 PM;11955,25;1;-305;-0,127559022186905;820;0,82;625;0,261391438907593;-305;-0,127559022186905
36;ExitLong;Stop Loss;8/27/20;2:55:00 PM;11940;1;;;;;;;;
37;EntryLong;Enter2;8/27/20;9:45:00 PM;11965,5;1;590;0,246542141991559;1410;1,41;590;0,246542141991559;0;0
38;ExitLong;Profit Target;8/27/20;10:00:00 PM;11995;1;;;;;;;;
39;EntryLong;Enter1;8/28/20;6:00:00 AM;11935,5;1;905;0,379121109295798;2315;2,315;905;0,379121109295798;0;0
40;ExitLong;Profit Target;8/28/20;8:10:00 AM;11980,75;1;;;;;;;;
41;EntryLong;Enter1;8/31/20;2:05:00 AM;12058,75;1;-205;-0,0850005182958433;2110;2,11;205;0,0850005182958433;-205;-0,0850005182958433
42;ExitLong;Stop Loss;8/31/20;2:50:00 AM;12048,5;1;;;;;;;;
43;EntryLong;Enter1;8/31/20;5:25:00 AM;12039,25;1;-250;-0,103827065639471;1860;1,86;215;0,089291276449945;-250;-0,103827065639471
44;ExitLong;Stop Loss;8/31/20;6:10:00 AM;12026,75;1;;;;;;;;
45;EntryLong;Enter1;8/31/20;9:15:00 AM;12037;1;905;0,375924233613027;2765;2,765;905;0,375924233613027;-205;-0,0851541081664867
46;ExitLong;Profit Target;8/31/20;10:00:00 AM;12082,25;1;;;;;;;;
47;EntryLong;Enter1;8/31/20;11:35:00 AM;12091;1;905;0,374245306426267;3670;3,67;905;0,374245306426267;-260;-0,107517988586552
48;ExitLong;Profit Target;8/31/20;12:45:00 PM;12136,25;1;;;;;;;;
49;EntryLong;Enter1;8/31/20;6:05:00 PM;12102,5;1;575;0,237554224333815;4245;4,245;575;0,237554224333815;-5;-0,00206568890725057
50;ExitLong;Profit Target;8/31/20;7:05:00 PM;12131,25;1;;;;;;;;
51;EntryLong;Enter1;8/31/20;8:30:00 PM;12138,5;1;635;0,261564443712156;4880;4,88;635;0,261564443712156;-140;-0,0576677513696091
52;ExitLong;Profit Target;8/31/20;9:05:00 PM;12170,25;1;;;;;;;;
53;EntryLong;Enter2;9/1/20;5:40:00 AM;12239,5;1;-175;-0,0714898484415213;4705;4,705;75;0,0306385064749377;-175;-0,0714898484415213
54;ExitLong;Stop Loss;9/1/20;6:10:00 AM;12230,75;1;;;;;;;;
55;EntryLong;Enter1;9/2/20;12:20:00 AM;12377,75;1;560;0,226212356849993;5265;5,265;560;0,226212356849993;-50;-0,0201975318616065
56;ExitLong;Profit Target;9/2/20;1:50:00 AM;12405,75;1;;;;;;;;
57;EntryLong;Enter1;9/2/20;12:15:00 PM;12331,5;1;905;0,366946437984025;6170;6,17;905;0,366946437984025;-70;-0,028382597413129
58;ExitLong;Profit Target;9/2/20;12:25:00 PM;12376,75;1;;;;;;;;
59;EntryLong;Enter1;9/13/20;7:55:00 PM;11164,25;1;830;0,371722238394877;7000;7;830;0,371722238394877;-225;-0,10076807667331
60;ExitLong;Profit Target;9/13/20;9:30:00 PM;11205,75;1;;;;;;;;
61;EntryLong;Enter1;9/14/20;7:20:00 AM;11189,5;1;890;0,397694266946691;7890;7,89;890;0,397694266946691;-75;-0,0335135618213504
62;ExitLong;Profit Target;9/14/20;8:35:00 AM;11234;1;;;;;;;;
63;EntryLong;Enter1;9/14/20;2:20:00 PM;11228,5;1;905;0,402992385447745;8795;8,795;905;0,402992385447745;-90;-0,0400765908180077
64;ExitLong;Profit Target;9/14/20;2:40:00 PM;11273,75;1;;;;;;;;
65;EntryLong;Enter1;9/14/20;10:00:00 PM;11284,75;1;770;0,341168390970115;9565;9,565;770;0,341168390970115;-50;-0,022153791621436
66;ExitLong;Profit Target;9/15/20;1:10:00 AM;11323,25;1;;;;;;;;
67;EntryLong;Enter1;9/15/20;5:50:00 AM;11367,5;1;890;0,391466901253574;10455;10,455;890;0,391466901253574;-60;-0,0263910270508027
68;ExitLong;Profit Target;9/15/20;7:45:00 AM;11412;1;;;;;;;;
