Date/Time;Profile;Account;Instrument;Position;Quantity;Average Price;Realized P/L;
11/3/2020 8:00:37 AM;CQG;132313;GCEZ20;Flat;0;;$ 0.00;
11/3/2020 8:00:37 AM;CQG;132313;EPZ20;Flat;0;;$ 0.00;
11/3/2020 8:00:37 AM;CQG;132313;CLEZ20;Flat;0;;$ 0.00;
10/30/2020 6:20:20 PM;CQG;132313;ENQZ20;Flat;0;;$ 1,585.00;
10/30/2020 5:56:05 PM;CQG;132313;ENQZ20;Long;1;10,995.500;0.00;
10/30/2020 5:40:45 PM;CQG;132313;CLEZ20;Flat;0;;$ 0.00;
10/29/2020 1:48:56 PM;CQG;132313;GCEZ20;Flat;0;;$ -290.00;
10/29/2020 1:10:42 PM;CQG;132313;ENQZ20;Flat;0;;$ -310.00;
10/29/2020 1:05:34 PM;CQG;132313;EPZ20;Flat;0;;$ -187.50;
10/29/2020 12:42:02 PM;CQG;132313;EPZ20;Long;1;3,284.250;$ 0.00;
10/29/2020 12:32:49 PM;CQG;132313;ENQZ20;Long;1;11,237.500;$ 0.00;
10/29/2020 12:18:06 PM;CQG;132313;GCEZ20;Long;1;1,876.90;$ 0.00;
10/29/2020 12:11:15 PM;CQG;132313;EPZ20;Flat;0;;$ -262.50;
10/29/2020 10:45:43 AM;CQG;132313;EPZ20;Long;1;3,287.250;$ 0.00;
10/26/2020 3:37:48 PM;CQG;132313;GCEZ20;Flat;0;;$ 230.00;
10/26/2020 3:25:47 PM;CQG;132313;EPZ20;Flat;0;;$ 200.00;
10/26/2020 3:11:09 PM;CQG;132313;GCEZ20;Long;1;1,904.20;$ 0.00;
10/26/2020 2:44:25 PM;CQG;132313;EPZ20;Long;1;3,416.500;$ 0.00;
10/26/2020 2:43:00 PM;CQG;132313;GCEZ20;Flat;0;;$ 0.00;
10/26/2020 2:43:00 PM;CQG;132313;EPZ20;Flat;0;;$ 0.00;
10/26/2020 2:43:00 PM;CQG;132313;ENQZ20;Flat;0;;$ 0.00;
10/26/2020 10:33:49 AM;CQG;132313;ENQZ20;Flat;0;;$ 10.00;
10/26/2020 10:00:00 AM;CQG;132313;ENQZ20;Long;1;11,558.000;$ 0.00;
10/26/2020 9:48:48 AM;CQG;132313;GCEZ20;Flat;0;;$ 510.00;
10/26/2020 8:48:31 AM;CQG;132313;ENQZ20;Flat;0;;$ -160.00;
10/26/2020 8:31:42 AM;CQG;132313;ENQZ20;Long;1;11,609.250;$ 0.00;
10/26/2020 8:07:56 AM;CQG;132313;GCEZ20;Long;1;1,898.10;$ -300.00;
10/24/2020 3:11:46 AM;CQG;132313;EPZ20;Flat;0;;$ 0.00;
10/24/2020 3:11:46 AM;CQG;132313;EPU20;Flat;0;;0.00;
10/24/2020 3:11:46 AM;CQG;132313;ENQZ20;Flat;0;;0.00;
10/24/2020 3:11:46 AM;CQG;132313;CLEZ20;Flat;0;;$ 0.00;
10/21/2020 5:04:49 PM;CQG;132313;GCEZ20;Flat;0;;$ -300.00;
10/21/2020 4:31:35 PM;CQG;132313;GCEZ20;Short;-1;1,928.10;$ 0.00;
10/21/2020 3:22:17 PM;CQG;132313;GCEZ20;Flat;0;;$ 560.00;
10/21/2020 12:25:53 PM;CQG;132313;GCEZ20;Long;1;1,920.30;$ 0.00;
